product_id,product_name,category,cost_price,sell_price,stock,warehouse,last_updated
P001,无线耳机,电子产品,180,299,50,上海,2024-01-10
P002,机械键盘,电子产品,320,599,30,北京,2024-01-12
P003,瑜伽垫,运动,45,129,200,广州,2024-01-15
P004,咖啡豆,食品,38,88,150,上海,2024-01-18
P005,跑步鞋,运动,,499,80,北京,2024-01-20
P006,台灯,家居,85,199,60,深圳,2024-01-22
P007,无线耳机,电子产品,180,299,50,上海,2024-01-10
P008,蛋白粉,食品,120,298,90,上海,2024-01-25
P009,显示器,电子产品,800,1599,25,北京,2024-01-28
P010,跳绳,运动,12,39,300,广州,2024-02-01
P011,电热水壶,家居,60,149,0,深圳,2024-02-03
P012,咖啡豆,食品,38,88,150,上海,2024-01-18
P013,充电宝,电子产品,95,179,120,北京,2024-02-05
P014,瑜伽裤,运动,55,159,,广州,2024-02-08
P015,空气净化器,家居,350,899,15,上海,2024-02-10
